seed,equation,elastin_injury_val,production_mechanosensitivity_injury_val,degradation_mechanosensitivity_injury_val,load_control_coefficient
178,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.29 * (1.01 * exp(-(abs((Z - 1.80) / 6.73) ^ 5.14 + abs(atan2(sin(atan2(Y, X) + 1.16), cos(atan2(Y, X) + 1.16)) / 4.04) ^ 6.18)) +
0.66 * exp(-(abs((Z - -4.01) / 5.90) ^ 4.56 + abs(atan2(sin(atan2(Y, X) + -3.60), cos(atan2(Y, X) + -3.60)) / 3.76) ^ 3.90)) +
1.20 * exp(-(abs((Z - 1.99) / 6.60) ^ 5.56 + abs(atan2(sin(atan2(Y, X) + -0.49), cos(atan2(Y, X) + -0.49)) / 2.73) ^ 3.75)) +
0.87 * exp(-(abs((Z - 1.38) / 3.40) ^ 4.07 + abs(atan2(sin(atan2(Y, X) + -2.49), cos(atan2(Y, X) + -2.49)) / 2.01) ^ 3.61))))",0.79,0.55,0.06,0.034
179,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.23 * (1.33 * exp(-(abs((Z - 2.12) / 5.79) ^ 4.67 + abs(atan2(sin(atan2(Y, X) + -1.26), cos(atan2(Y, X) + -1.26)) / 2.92) ^ 5.90)) +
1.08 * exp(-(abs((Z - 1.29) / 5.43) ^ 5.51 + abs(atan2(sin(atan2(Y, X) + 2.00), cos(atan2(Y, X) + 2.00)) / 2.57) ^ 6.52)) +
1.10 * exp(-(abs((Z - 4.87) / 6.12) ^ 6.31 + abs(atan2(sin(atan2(Y, X) + 5.18), cos(atan2(Y, X) + 5.18)) / 3.21) ^ 3.33)) +
1.09 * exp(-(abs((Z - -1.06) / 6.43) ^ 5.88 + abs(atan2(sin(atan2(Y, X) + 3.09), cos(atan2(Y, X) + 3.09)) / 3.29) ^ 5.18))))",0.80,0.64,0.50,0.032
180,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.33 * (1.03 * exp(-(abs((Z - 0.85) / 4.30) ^ 6.48 + abs(atan2(sin(atan2(Y, X) + -1.87), cos(atan2(Y, X) + -1.87)) / 3.13) ^ 4.72)) +
0.68 * exp(-(abs((Z - 1.69) / 4.63) ^ 6.03 + abs(atan2(sin(atan2(Y, X) + 4.01), cos(atan2(Y, X) + 4.01)) / 2.65) ^ 5.53)) +
0.57 * exp(-(abs((Z - -1.57) / 5.49) ^ 4.77 + abs(atan2(sin(atan2(Y, X) + -1.75), cos(atan2(Y, X) + -1.75)) / 2.60) ^ 4.81)) +
1.16 * exp(-(abs((Z - -4.34) / 3.82) ^ 4.54 + abs(atan2(sin(atan2(Y, X) + 0.51), cos(atan2(Y, X) + 0.51)) / 2.59) ^ 5.98))))",0.78,0.62,0.31,0.033
181,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.27 * (1.01 * exp(-(abs((Z - 0.53) / 4.76) ^ 4.09 + abs(atan2(sin(atan2(Y, X) + -3.04), cos(atan2(Y, X) + -3.04)) / 2.35) ^ 4.53)) +
0.91 * exp(-(abs((Z - 3.01) / 4.67) ^ 5.99 + abs(atan2(sin(atan2(Y, X) + 3.32), cos(atan2(Y, X) + 3.32)) / 4.44) ^ 4.30)) +
1.23 * exp(-(abs((Z - 1.65) / 4.78) ^ 4.45 + abs(atan2(sin(atan2(Y, X) + -0.06), cos(atan2(Y, X) + -0.06)) / 2.81) ^ 5.33)) +
0.70 * exp(-(abs((Z - -0.11) / 7.27) ^ 5.55 + abs(atan2(sin(atan2(Y, X) + -0.69), cos(atan2(Y, X) + -0.69)) / 3.12) ^ 5.37))))",0.79,0.61,0.27,0.034
182,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.25 * (1.23 * exp(-(abs((Z - 1.86) / 4.90) ^ 5.36 + abs(atan2(sin(atan2(Y, X) + -1.19), cos(atan2(Y, X) + -1.19)) / 3.75) ^ 5.34)) +
0.77 * exp(-(abs((Z - 0.39) / 4.58) ^ 5.72 + abs(atan2(sin(atan2(Y, X) + -1.52), cos(atan2(Y, X) + -1.52)) / 2.18) ^ 5.04)) +
1.07 * exp(-(abs((Z - -1.23) / 5.43) ^ 4.25 + abs(atan2(sin(atan2(Y, X) + -0.63), cos(atan2(Y, X) + -0.63)) / 3.18) ^ 5.22)) +
0.98 * exp(-(abs((Z - 1.89) / 5.79) ^ 5.11 + abs(atan2(sin(atan2(Y, X) + -2.68), cos(atan2(Y, X) + -2.68)) / 3.90) ^ 3.03))))",0.76,0.58,0.28,0.033
183,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.32 * (1.19 * exp(-(abs((Z - -3.54) / 5.25) ^ 4.24 + abs(atan2(sin(atan2(Y, X) + -0.44), cos(atan2(Y, X) + -0.44)) / 3.49) ^ 4.27)) +
1.14 * exp(-(abs((Z - -0.21) / 4.59) ^ 4.31 + abs(atan2(sin(atan2(Y, X) + -2.52), cos(atan2(Y, X) + -2.52)) / 4.59) ^ 4.70)) +
0.91 * exp(-(abs((Z - 5.92) / 4.80) ^ 5.67 + abs(atan2(sin(atan2(Y, X) + 6.09), cos(atan2(Y, X) + 6.09)) / 2.70) ^ 4.45)) +
0.90 * exp(-(abs((Z - -1.36) / 3.50) ^ 5.76 + abs(atan2(sin(atan2(Y, X) + -4.57), cos(atan2(Y, X) + -4.57)) / 3.18) ^ 5.62))))",0.80,0.64,0.38,0.032
187,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.31 * (0.96 * exp(-(abs((Z - -2.29) / 5.54) ^ 5.53 + abs(atan2(sin(atan2(Y, X) + 0.28), cos(atan2(Y, X) + 0.28)) / 3.83) ^ 4.82)) +
0.70 * exp(-(abs((Z - 5.71) / 5.45) ^ 5.55 + abs(atan2(sin(atan2(Y, X) + -1.21), cos(atan2(Y, X) + -1.21)) / 1.90) ^ 5.63)) +
1.04 * exp(-(abs((Z - -0.14) / 4.99) ^ 6.20 + abs(atan2(sin(atan2(Y, X) + 0.69), cos(atan2(Y, X) + 0.69)) / 2.41) ^ 4.92)) +
0.96 * exp(-(abs((Z - -3.33) / 5.67) ^ 6.54 + abs(atan2(sin(atan2(Y, X) + 4.58), cos(atan2(Y, X) + 4.58)) / 3.75) ^ 3.83))))",0.76,0.59,0.29,0.033
188,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.28 * (1.01 * exp(-(abs((Z - 0.89) / 4.47) ^ 5.87 + abs(atan2(sin(atan2(Y, X) + 4.45), cos(atan2(Y, X) + 4.45)) / 2.78) ^ 4.38)) +
0.93 * exp(-(abs((Z - 3.95) / 4.43) ^ 6.31 + abs(atan2(sin(atan2(Y, X) + 2.79), cos(atan2(Y, X) + 2.79)) / 3.47) ^ 4.69)) +
0.99 * exp(-(abs((Z - -0.42) / 1.97) ^ 3.64 + abs(atan2(sin(atan2(Y, X) + -0.76), cos(atan2(Y, X) + -0.76)) / 3.99) ^ 5.69)) +
1.20 * exp(-(abs((Z - -2.07) / 5.24) ^ 4.33 + abs(atan2(sin(atan2(Y, X) + 1.07), cos(atan2(Y, X) + 1.07)) / 3.10) ^ 3.72))))",0.75,0.62,0.45,0.034
189,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.38 * (0.96 * exp(-(abs((Z - 3.09) / 5.00) ^ 5.12 + abs(atan2(sin(atan2(Y, X) + -1.12), cos(atan2(Y, X) + -1.12)) / 3.55) ^ 4.17)) +
0.71 * exp(-(abs((Z - 2.63) / 4.89) ^ 4.83 + abs(atan2(sin(atan2(Y, X) + -0.99), cos(atan2(Y, X) + -0.99)) / 2.40) ^ 4.10)) +
0.99 * exp(-(abs((Z - -1.51) / 6.14) ^ 5.38 + abs(atan2(sin(atan2(Y, X) + 3.37), cos(atan2(Y, X) + 3.37)) / 3.97) ^ 5.41)) +
0.73 * exp(-(abs((Z - -5.63) / 5.18) ^ 5.95 + abs(atan2(sin(atan2(Y, X) + 1.60), cos(atan2(Y, X) + 1.60)) / 1.73) ^ 5.00))))",0.77,0.56,0.27,0.034
190,"(1./(1. + exp(-4. * (Z + 6.2))))*(1./(1. + exp(-4. * (6.2 - Z)))) * (0.20 * (1.13 * exp(-(abs((Z - 4.43) / 5.55) ^ 6.02 + abs(atan2(sin(atan2(Y, X) + 3.81), cos(atan2(Y, X) + 3.81)) / 3.87) ^ 4.99)) +
1.29 * exp(-(abs((Z - 2.07) / 4.87) ^ 4.57 + abs(atan2(sin(atan2(Y, X) + 0.05), cos(atan2(Y, X) + 0.05)) / 3.52) ^ 5.37)) +
1.35 * exp(-(abs((Z - 1.05) / 5.56) ^ 5.12 + abs(atan2(sin(atan2(Y, X) + -2.89), cos(atan2(Y, X) + -2.89)) / 3.05) ^ 6.55)) +
1.30 * exp(-(abs((Z - -1.33) / 4.67) ^ 4.82 + abs(atan2(sin(atan2(Y, X) + -1.51), cos(atan2(Y, X) + -1.51)) / 1.12) ^ 4.32))))",0.78,0.56,0.52,0.034
